TEMPO;PROCESSO;PAGINA;ACAO
25;17;4;ENTROU
25;17;5;ENTROU
25;17;6;ENTROU
25;17;7;ENTROU
25;17;8;ENTROU
25;17;9;ENTROU
25;17;10;ENTROU
28;16;17;SAIU
28;16;18;SAIU
28;16;19;SAIU
28;16;20;SAIU
28;16;21;SAIU
28;16;22;SAIU
28;16;23;SAIU
28;16;24;SAIU
28;16;25;SAIU
28;16;26;SAIU
28;16;27;SAIU
28;16;28;SAIU
30;17;0;SAIU
30;17;1;SAIU
30;17;2;SAIU
30;17;3;SAIU
30;17;4;SAIU
30;17;5;SAIU
30;17;6;SAIU
30;17;7;SAIU
30;17;8;SAIU
30;17;9;SAIU
30;17;10;SAIU
30;18;0;ENTROU
30;18;1;ENTROU
30;18;2;ENTROU
30;18;3;ENTROU
30;18;4;ENTROU
30;18;5;ENTROU
30;18;6;ENTROU
30;18;7;ENTROU
30;18;8;ENTROU
30;18;9;ENTROU
30;18;10;ENTROU
30;18;11;ENTROU
30;18;12;ENTROU
30;18;13;ENTROU
30;18;14;ENTROU
30;18;15;ENTROU
30;18;16;ENTROU
30;18;17;ENTROU
30;18;18;ENTROU
30;18;19;ENTROU
30;18;20;ENTROU
30;18;21;ENTROU
30;18;22;ENTROU
30;18;23;ENTROU
30;18;24;ENTROU
30;18;25;ENTROU
30;18;26;ENTROU
30;18;27;ENTROU
30;18;28;ENTROU
30;18;55;ENTROU
30;18;56;ENTROU
30;18;57;ENTROU
30;18;58;ENTROU
30;18;59;ENTROU
30;18;60;ENTROU
30;18;61;ENTROU
30;18;62;ENTROU
30;18;63;ENTROU
36;18;0;SAIU
36;18;1;SAIU
36;18;2;SAIU
36;18;3;SAIU
36;18;4;SAIU
36;18;5;SAIU
36;18;6;SAIU
36;18;7;SAIU
36;18;8;SAIU
36;18;9;SAIU
36;18;10;SAIU
36;18;11;SAIU
36;18;12;SAIU
36;18;13;SAIU
36;18;14;SAIU
36;18;15;SAIU
36;18;16;SAIU
36;18;17;SAIU
36;18;18;SAIU
36;18;19;SAIU
36;18;20;SAIU
36;18;21;SAIU
36;18;22;SAIU
36;18;23;SAIU
36;18;24;SAIU
36;18;25;SAIU
36;18;26;SAIU
36;18;27;SAIU
36;18;28;SAIU
36;18;55;SAIU
36;18;56;SAIU
36;18;57;SAIU
36;18;58;SAIU
36;18;59;SAIU
36;18;60;SAIU
36;18;61;SAIU
36;18;62;SAIU
36;18;63;SAIU
36;19;0;ENTROU
36;19;1;ENTROU
36;19;2;ENTROU
36;19;3;ENTROU
36;19;4;ENTROU
36;19;5;ENTROU
36;19;6;ENTROU
36;19;7;ENTROU
36;19;8;ENTROU
36;19;9;ENTROU
36;19;10;ENTROU
36;19;11;ENTROU
36;19;12;ENTROU
36;19;13;ENTROU
36;19;14;ENTROU
36;19;15;ENTROU
36;19;16;ENTROU
36;19;17;ENTROU
36;19;18;ENTROU
42;19;0;SAIU
42;19;1;SAIU
42;19;2;SAIU
42;19;3;SAIU
42;19;4;SAIU
42;19;5;SAIU
42;19;6;SAIU
42;19;7;SAIU
42;19;8;SAIU
42;19;9;SAIU
42;19;10;SAIU
42;19;11;SAIU
42;19;12;SAIU
42;19;13;SAIU
42;19;14;SAIU
42;19;15;SAIU
42;19;16;SAIU
42;19;17;SAIU
42;19;18;SAIU
42;20;0;ENTROU
42;20;1;ENTROU
42;20;2;ENTROU
42;20;3;ENTROU
42;20;4;ENTROU
42;20;5;ENTROU
42;20;6;ENTROU
42;20;7;ENTROU
42;20;8;ENTROU
42;20;9;ENTROU
42;20;10;ENTROU
42;20;11;ENTROU
42;20;12;ENTROU
42;20;13;ENTROU
42;20;14;ENTROU
42;20;15;ENTROU
42;20;16;ENTROU
42;20;17;ENTROU
42;20;18;ENTROU
42;20;19;ENTROU
42;20;20;ENTROU
42;20;21;ENTROU
42;20;22;ENTROU
42;20;23;ENTROU
48;20;0;SAIU
48;20;1;SAIU
48;20;2;SAIU
48;20;3;SAIU
48;20;4;SAIU
48;20;5;SAIU
48;20;6;SAIU
48;20;7;SAIU
48;20;8;SAIU
48;20;9;SAIU
48;20;10;SAIU
48;20;11;SAIU
48;20;12;SAIU
48;20;13;SAIU
48;20;14;SAIU
48;20;15;SAIU
48;20;16;SAIU
48;20;17;SAIU
48;20;18;SAIU
48;20;19;SAIU
48;20;20;SAIU
48;20;21;SAIU
48;20;22;SAIU
48;20;23;SAIU
48;21;0;ENTROU
48;21;1;ENTROU
48;21;2;ENTROU
48;21;3;ENTROU
48;21;4;ENTROU
48;21;5;ENTROU
48;21;6;ENTROU
48;21;7;ENTROU
48;21;8;ENTROU
48;21;9;ENTROU
48;21;10;ENTROU
48;21;11;ENTROU
48;21;12;ENTROU
48;21;13;ENTROU
48;21;14;ENTROU
48;21;15;ENTROU
48;21;16;ENTROU
48;21;17;ENTROU
48;21;18;ENTROU
48;21;19;ENTROU
48;21;20;ENTROU
48;21;21;ENTROU
48;21;22;ENTROU
48;21;23;ENTROU
48;21;24;ENTROU
48;22;25;ENTROU
48;22;26;ENTROU
48;22;27;ENTROU
48;22;28;ENTROU
48;22;55;ENTROU
48;22;56;ENTROU
48;22;57;ENTROU
48;22;58;ENTROU
48;22;59;ENTROU
48;22;60;ENTROU
48;22;61;ENTROU
48;22;62;ENTROU
48;22;63;ENTROU
53;21;0;SAIU
53;21;1;SAIU
53;21;2;SAIU
53;21;3;SAIU
53;21;4;SAIU
53;21;5;SAIU
53;21;6;SAIU
53;21;7;SAIU
53;21;8;SAIU
53;21;9;SAIU
53;21;10;SAIU
53;21;11;SAIU
53;21;12;SAIU
53;21;13;SAIU
